id,name,longitude,latitude,distance,rate,kinds,country
9580177,Lemoni Hotel,37.2812157,44.9638748,8126.84981216,1,"accomodations,other_hotels",Россия
9953994,Барвиха,37.2816353,44.9640846,8137.43209404,2,"accomodations,guest_houses",Россия
9644078,Александра,37.2808037,44.9644737,8200.16237579,1,"guest_houses,accomodations",Россия
9580180,отель катран,37.2830238,44.9652061,8219.57749919,2,"accomodations,other_hotels",Россия
9580178,Белая Лилия,37.2797165,44.9646721,8250.71337931,1,"accomodations,other_hotels",Россия
1770879,Лазурный Берег,37.2796478,44.9660759,8398.69045644,1,"accomodations,other_hotels",Россия
9580176,Юнга,37.281868,44.9666519,8400.70546448,1,"accomodations,other_hotels",Россия
1770766,У Любавы,37.4273224,44.8937073,8779.13048051,1,"accomodations,other_hotels",Россия
5667796,Волна,37.2758141,44.9685326,8761.06996387,1,"accomodations,other_hotels",Россия
9580181,Черноморец,37.272995,44.9698143,8976.43383692,1,"accomodations,other_hotels",Россия
1770870,Апарт-отель «Кавказ»,37.276432,44.9713631,9037.69261065,1,"accomodations,other_hotels",Россия
1770871,Одиссея,37.2709618,44.9725456,9317.91781726,1,"accomodations,other_hotels",Россия
1770877,"пансионат ""Селена""",37.2704124,44.9734039,9422.8513477,1,"accomodations,other_hotels",Россия
9580185,Селена,37.2706985,44.9734917,9423.21552468,1,"accomodations,other_hotels",Россия
1769958,Дом отдыха Москва,37.2679443,44.9740219,9562.13884945,1,"accomodations,other_hotels",Россия
1770878,Санаторий Парус,37.2709351,44.9752655,9598.52308835,1,"accomodations,guest_houses",Россия
9580184,Анапа,37.2675018,44.9747009,9645.35107896,1,"accomodations,other_hotels",Россия
5667677,морские рифы пансионат,37.2646904,44.9746704,9732.70822716,2,"accomodations,other_hotels",Россия
5667676,Антарес,37.2641716,44.9748192,9764.9308534,1,"accomodations,other_hotels",Россия
9580183,Жемчужина России,37.2672386,44.9762611,9812.69488377,1,"accomodations,other_hotels",Россия
9635832,приветливыи гостевои дом,37.2751884,44.9784737,9814.51109751,1,"accomodations,guest_houses",Россия
9635834,приветливыи гостевои дом,37.2752037,44.9784813,9814.92271355,1,"accomodations,guest_houses",Россия
