id,xid,name,longitude,latitude,distance,rate,osm,kinds,country
9544372,N5585806235,На Горького,37.3205528,44.8981056,479.31129906,1,node/5585806235,"accomodations,other_hotels",Unknown
1770556,N1888675200,отель де ла мапа all inclusive,37.3107414,44.8929634,492.37380646,2,node/1888675200,"accomodations,resorts",Unknown
5667738,W189630672,Корпус № 1,37.3189392,44.8991966,503.98148747,1,way/189630672,"accomodations,other_hotels",Unknown
1770577,W74463980,Корпус № 5,37.318264,44.8996849,534.79175389,1,way/74463980,"accomodations,other_hotels",Россия
1770608,W224327150,Корпус № 3,37.3197632,44.8993149,546.40790973,1,way/224327150,"accomodations,other_hotels",Россия
5667737,W156046466,Корпус № 4,37.3188972,44.8997307,556.91543058,1,way/156046466,"accomodations,other_hotels",Россия
1770620,N5585806236,гостевои дом патио,37.3214417,44.8984642,557.79362887,2,node/5585806236,"accomodations,guest_houses",Россия
5667739,W223628327,София,37.3106422,44.8919868,558.89718457,1,way/223628327,"guest_houses,accomodations",Россия
1770543,N2332680645,Алина,37.31036,44.8922005,562.86296532,1,node/2332680645,"guest_houses,accomodations",Россия
1770619,N3560345822,"отель """"де париж""""",37.3224144,44.8979607,584.83530802,2,node/3560345822,"accomodations,other_hotels",Россия
1770623,N3560345825,гостевои дом анастасия,37.3227806,44.897789,599.61575921,2,node/3560345825,"accomodations,guest_houses",Россия
9596684,R7192628,санатории анапа,37.3196411,44.8999557,604.05384471,2,relation/7192628,"accomodations,urban_environment,gardens_and_parks,cultural,interesting_places,other_hotels",Россия
1770624,N5638004722,гостевои дом анастасия,37.3227806,44.8980713,615.69337662,2,node/5638004722,"accomodations,guest_houses",Россия
1770450,N2332680653,Нина,37.308403,44.8938026,632.59530704,1,node/2332680653,"guest_houses,accomodations",Unknown
1770438,N8552236448,,37.3093147,44.8920555,640.51044757,0,node/8552236448,"apartments,accomodations",Unknown
1770609,W223282169,Корпус № 10,37.3203583,44.9005089,685.13285185,1,way/223282169,"accomodations,other_hotels",Unknown
